Feb1814:09:00,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:09:10,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:09:34,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:10:01,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:10:09,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:10:38,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:10:48,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:11:19,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:11:36,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:11:55,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:12:17,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:12:39,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:13:56,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:14:08,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:14:12,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:14:15,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:14:16,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:14:35,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:14:50,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:15:16,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:15:30,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:15:49,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:16:24,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:16:43,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:16:51,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:17:13,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:17:32,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:17:50,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:18:12,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:18:38,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:19:03,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:19:12,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:19:33,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:19:52,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:20:09,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:20:37,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:20:54,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:21:24,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:21:34,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:21:50,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:22:10,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:23:01,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:23:03,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:29:30,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:29:31,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:29:32,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:29:45,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:30:43,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb1814:30:50,wlan0,,94.71.2.233,192.168.1.107,TCP,63556,EU,Greece,Athens,23.733300000000014,37.983300000000014
Feb2011:41:57,wlan0,,193.137.138.170,224.0.0.1,UDP,62721,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:04,wlan0,,193.137.138.170,224.0.0.1,UDP,63143,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:13,wlan0,,193.137.138.170,224.0.0.1,UDP,62977,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:20,wlan0,,193.137.138.170,224.0.0.1,UDP,57109,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:28,wlan0,,193.137.138.170,224.0.0.1,UDP,56475,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:35,wlan0,,193.137.138.170,224.0.0.1,UDP,64263,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:42,wlan0,,193.137.138.170,224.0.0.1,UDP,54717,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:49,wlan0,,193.137.138.170,224.0.0.1,UDP,49302,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:42:56,wlan0,,193.137.138.170,224.0.0.1,UDP,52837,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:43:03,wlan0,,193.137.138.170,224.0.0.1,UDP,55101,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:43:10,wlan0,,193.137.138.170,224.0.0.1,UDP,50154,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:43:17,wlan0,,193.137.138.170,224.0.0.1,UDP,51845,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:43:24,wlan0,,193.137.138.170,224.0.0.1,UDP,53188,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:43:31,wlan0,,193.137.138.170,224.0.0.1,UDP,59146,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:43:46,wlan0,,193.137.138.170,224.0.0.1,UDP,52837,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:44:00,wlan0,,193.137.138.170,224.0.0.1,UDP,60769,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:44:10,eth0,,0564:6169:7379:0675:6275:6e74:7503:636f,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,60769,EU,Russian Federation,Vladivostok,131.90109999999999,43.12809999999999
Feb2011:44:21,wlan0,,193.137.138.170,224.0.0.1,UDP,59588,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:44:42,wlan0,,193.137.138.170,224.0.0.1,UDP,55516,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:45:03,wlan0,,193.137.138.170,224.0.0.1,UDP,64810,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:45:25,wlan0,,193.137.138.170,224.0.0.1,UDP,51055,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:45:46,wlan0,,193.137.138.170,224.0.0.1,UDP,57234,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:46:00,wlan0,,193.137.138.170,224.0.0.1,UDP,55261,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:46:15,eth0,,0332:3534:0233:3603:3136:3803:3139:3207,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,55261,NA,United States,Fairfield,-73.2637,41.1412
Feb2011:46:21,wlan0,,193.137.138.170,224.0.0.1,UDP,63005,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:46:42,wlan0,,193.137.138.170,224.0.0.1,UDP,65090,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:47:04,wlan0,,193.137.138.170,224.0.0.1,UDP,64371,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:47:25,wlan0,,193.137.138.170,224.0.0.1,UDP,51389,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:47:39,wlan0,,193.137.138.170,224.0.0.1,UDP,50114,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:48:00,wlan0,,193.137.138.170,224.0.0.1,UDP,63529,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:48:20,eth0,,0564:6169:7379:0675:0100:0000:0000:0000,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,63529,EU,Russian Federation,Vladivostok,131.90109999999999,43.12809999999999
Feb2011:48:43,wlan0,,193.137.138.170,224.0.0.1,UDP,58153,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:49:04,wlan0,,193.137.138.170,224.0.0.1,UDP,57821,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:49:33,wlan0,,193.137.138.170,224.0.0.1,UDP,59841,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:49:40,wlan0,,193.137.138.170,224.0.0.1,UDP,60942,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:50:08,wlan0,,193.137.138.170,224.0.0.1,UDP,55079,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:50:22,wlan0,,193.137.138.170,224.0.0.1,UDP,56674,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:50:25,eth0,,0101:080a:11ff:2597:007f:956f:0001:0000,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,56674,AS,China,,105.0,35.0
Feb2011:50:43,wlan0,,193.137.138.170,224.0.0.1,UDP,54994,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:51:05,wlan0,,193.137.138.170,224.0.0.1,UDP,64629,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:51:26,wlan0,,193.137.138.170,224.0.0.1,UDP,61273,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:51:40,wlan0,,193.137.138.170,224.0.0.1,UDP,60236,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:52:01,wlan0,,193.137.138.170,224.0.0.1,UDP,65249,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:52:23,wlan0,,193.137.138.170,224.0.0.1,UDP,63749,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:52:44,wlan0,,193.137.138.170,224.0.0.1,UDP,58604,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:53:05,wlan0,,193.137.138.170,224.0.0.1,UDP,56612,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:53:19,wlan0,,193.137.138.170,224.0.0.1,UDP,61447,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:53:40,wlan0,,193.137.138.170,224.0.0.1,UDP,56959,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:54:02,wlan0,,193.137.138.170,224.0.0.1,UDP,56518,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:54:23,wlan0,,193.137.138.170,224.0.0.1,UDP,59856,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:54:35,eth0,,0564:6169:7379:0675:6275:6e74:7503:636f,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,59856,EU,Russian Federation,Vladivostok,131.90109999999999,43.12809999999999
Feb2011:54:44,wlan0,,193.137.138.170,224.0.0.1,UDP,56594,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:55:05,wlan0,,193.137.138.170,224.0.0.1,UDP,49587,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:55:20,wlan0,,193.137.138.170,224.0.0.1,UDP,54948,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:55:41,wlan0,,193.137.138.170,224.0.0.1,UDP,64512,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:56:02,wlan0,,193.137.138.170,224.0.0.1,UDP,55961,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:56:23,wlan0,,193.137.138.170,224.0.0.1,UDP,58493,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:56:40,eth0,,0332:3534:0233:3603:0100:0000:0000:0000,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,58493,NA,United States,Fairfield,-73.2637,41.1412
Feb2011:57:06,wlan0,,193.137.138.170,224.0.0.1,UDP,52050,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:57:20,wlan0,,193.137.138.170,224.0.0.1,UDP,62809,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:57:41,wlan0,,193.137.138.170,224.0.0.1,UDP,54217,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:58:03,wlan0,,193.137.138.170,224.0.0.1,UDP,54152,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:58:24,wlan0,,193.137.138.170,224.0.0.1,UDP,62087,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:58:45,eth0,,0564:6169:7379:0675:6275:6e74:7503:636f,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,62087,EU,Russian Federation,Vladivostok,131.90109999999999,43.12809999999999
Feb2011:58:59,wlan0,,193.137.138.170,224.0.0.1,UDP,49304,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:59:20,wlan0,,193.137.138.170,224.0.0.1,UDP,59317,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2011:59:42,wlan0,,193.137.138.170,224.0.0.1,UDP,50232,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:00:03,wlan0,,193.137.138.170,224.0.0.1,UDP,49595,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:00:24,wlan0,,193.137.138.170,224.0.0.1,UDP,56966,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:00:45,wlan0,,193.137.138.170,224.0.0.1,UDP,58936,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:00:50,eth0,,0100:0000:0600:0000:0100:0000:0000:0000,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,58936,OC,Australia,,133.0,-27.0
Feb2012:01:00,wlan0,,193.137.138.170,224.0.0.1,UDP,61706,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:01:21,wlan0,,193.137.138.170,224.0.0.1,UDP,62667,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:01:42,wlan0,,193.137.138.170,224.0.0.1,UDP,61304,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:02:03,wlan0,,193.137.138.170,224.0.0.1,UDP,63696,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:02:25,wlan0,,193.137.138.170,224.0.0.1,UDP,65293,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:02:46,wlan0,,193.137.138.170,224.0.0.1,UDP,49643,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:02:55,eth0,,0564:6169:7379:0675:6275:6e74:7503:636f,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,49643,EU,Russian Federation,Vladivostok,131.90109999999999,43.12809999999999
Feb2012:03:00,wlan0,,193.137.138.170,224.0.0.1,UDP,56175,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:03:21,wlan0,,193.137.138.170,224.0.0.1,UDP,56363,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:03:43,wlan0,,193.137.138.170,224.0.0.1,UDP,50573,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:04:04,wlan0,,193.137.138.170,224.0.0.1,UDP,58710,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:04:25,wlan0,,193.137.138.170,224.0.0.1,UDP,62337,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:04:39,wlan0,,193.137.138.170,224.0.0.1,UDP,62961,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:05:00,eth0,,046d:6169:6c06:676f:0180:c200:0000:04fe,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,62961,NA,United States,,-97.0,38.0
Feb2012:05:22,wlan0,,193.137.138.170,224.0.0.1,UDP,64904,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:06:04,wlan0,,193.137.138.170,224.0.0.1,UDP,51712,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:06:25,wlan0,,193.137.138.170,224.0.0.1,UDP,62428,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:06:40,wlan0,,193.137.138.170,224.0.0.1,UDP,65149,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:07:01,wlan0,,193.137.138.170,224.0.0.1,UDP,65177,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:07:05,eth0,,0564:6169:7379:0675:6275:6e74:7503:636f,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,65177,EU,Russian Federation,Vladivostok,131.90109999999999,43.12809999999999
Feb2012:07:22,wlan0,,193.137.138.170,224.0.0.1,UDP,61142,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:07:43,wlan0,,193.137.138.170,224.0.0.1,UDP,62359,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:08:05,wlan0,,193.137.138.170,224.0.0.1,UDP,59528,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:08:26,wlan0,,193.137.138.170,224.0.0.1,UDP,61600,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:08:40,wlan0,,193.137.138.170,224.0.0.1,UDP,53454,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:09:01,wlan0,,193.137.138.170,224.0.0.1,UDP,51886,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:09:10,eth0,,0101:080a:1203:7069:0015:8fcb:0000:0000,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,51886,AS,China,,105.0,35.0
Feb2012:09:23,wlan0,,193.137.138.170,224.0.0.1,UDP,51655,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:09:44,wlan0,,193.137.138.170,224.0.0.1,UDP,63832,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:10:05,wlan0,,193.137.138.170,224.0.0.1,UDP,52815,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:10:19,wlan0,,193.137.138.170,224.0.0.1,UDP,63553,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:10:40,wlan0,,193.137.138.170,224.0.0.1,UDP,53647,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:11:02,wlan0,,193.137.138.170,224.0.0.1,UDP,65391,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:11:15,eth0,,0204:05b4:0402:080a:1203:7014:0015:8f99,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,65391,EU,France,Marseille,5.376100000000008,43.28540000000001
Feb2012:11:23,wlan0,,193.137.138.170,224.0.0.1,UDP,62120,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:11:44,wlan0,,193.137.138.170,224.0.0.1,UDP,64321,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:12:05,wlan0,,193.137.138.170,224.0.0.1,UDP,49493,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:12:20,wlan0,,193.137.138.170,224.0.0.1,UDP,56822,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:12:41,wlan0,,193.137.138.170,224.0.0.1,UDP,57116,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:13:02,wlan0,,193.137.138.170,224.0.0.1,UDP,52364,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:13:20,eth0,,0b76:6964:656f:7365:0100:0000:0000:0000,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,52364,NA,United States,Columbus,-82.9988,39.96119999999999
Feb2012:13:45,wlan0,,193.137.138.170,224.0.0.1,UDP,58663,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:14:06,wlan0,,193.137.138.170,224.0.0.1,UDP,65469,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:14:20,wlan0,,193.137.138.170,224.0.0.1,UDP,56347,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:14:41,wlan0,,193.137.138.170,224.0.0.1,UDP,57324,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:15:03,wlan0,,193.137.138.170,224.0.0.1,UDP,55710,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:15:24,wlan0,,193.137.138.170,224.0.0.1,UDP,57498,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:15:25,eth0,,14e9:14e9:0035:67d5:0000:0000:0001:0000,ff02:0000:0000:0000:0000:0000:0000:0001,ICMPv6,57498,NA,United States,Falls Church,-77.1922,38.864000000000004
Feb2012:15:45,wlan0,,193.137.138.170,224.0.0.1,UDP,58372,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:15:59,wlan0,,193.137.138.170,224.0.0.1,UDP,64820,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:16:21,wlan0,,193.137.138.170,224.0.0.1,UDP,54116,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
Feb2012:16:42,wlan0,,193.137.138.170,224.0.0.1,UDP,56268,EU,Portugal,Beja,-7.863200000000006,38.01509999999999
